product_name,overall_rating,review_rating,review_title,review_text
iPhone 15,4.6,4,Satisfied,Overall performance is good for the price.
iPhone 15,4.6,5,Worth every penny,"Excellent display, smooth performance and amazing battery life."
iPhone 15,4.6,5,Excellent phone,Very fast phone with premium build quality.
iPhone 15,4.6,4,Very good,Display is bright and colourful.
iPhone 15,4.6,4,Good choice,Worth buying.
iPhone 15,4.6,2,Needs improvement,Camera quality did not meet expectations.
iPhone 15,4.6,3,Good but could improve,Expected more features.
iPhone 15,4.6,4,Value for money,Battery lasts all day with moderate usage.
iPhone 15,4.6,3,Okay overall,Camera is average in low light.
iPhone 15,4.6,5,Worth every penny,Very fast phone with premium build quality.
iPhone 15,4.6,5,Awesome camera,Camera quality is outstanding in all lighting conditions.
iPhone 15,4.6,5,Highly recommended,Very fast phone with premium build quality.
iPhone 15,4.6,4,Very good,Battery lasts all day with moderate usage.
iPhone 15,4.6,4,Very good,Good software experience.
iPhone 15,4.6,5,Worth every penny,Camera quality is outstanding in all lighting conditions.
iPhone 15,4.6,5,Awesome camera,Gaming performance is excellent without heating.
iPhone 15,4.6,5,Worth every penny,Very fast phone with premium build quality.
iPhone 15,4.6,4,Nice product,Battery lasts all day with moderate usage.
iPhone 15,4.6,5,Awesome camera,Highly recommended for everyday use.
iPhone 15,4.6,5,Worth every penny,"Excellent display, smooth performance and amazing battery life."
Samsung Galaxy S24,4.5,5,Awesome camera,Gaming performance is excellent without heating.
Samsung Galaxy S24,4.5,5,Awesome camera,"Excellent display, smooth performance and amazing battery life."
Samsung Galaxy S24,4.5,4,Satisfied,Battery lasts all day with moderate usage.
Samsung Galaxy S24,4.5,2,Needs improvement,Not worth the current price.
Samsung Galaxy S24,4.5,5,Worth every penny,Highly recommended for everyday use.
Samsung Galaxy S24,4.5,4,Nice product,Good software experience.
Samsung Galaxy S24,4.5,4,Value for money,Display is bright and colourful.
Samsung Galaxy S24,4.5,5,Awesome camera,"Excellent display, smooth performance and amazing battery life."
Samsung Galaxy S24,4.5,4,Very good,Overall performance is good for the price.
Samsung Galaxy S24,4.5,5,Excellent phone,Very fast phone with premium build quality.
Samsung Galaxy S24,4.5,3,Average experience,Expected more features.
